epsilon,model,accuracy,loss
0.0,clean,0.7801188786373314,1.7679452
0.0,fgsm,0.5698633782824698,3.334927
0.0,bim,0.4198012775017743,7.9574637
0.05,clean,0.3794801277501774,6.329668
0.05,fgsm,1.0,1.2209912e-07
0.05,bim,0.9996007806955287,0.0032202546
0.1,clean,0.23451916252661462,7.922648
0.1,fgsm,1.0,1.192093e-07
0.1,bim,0.9984918381831086,0.011484321
0.15000000000000002,clean,0.12539921930447126,8.989211
0.15000000000000002,fgsm,1.0,1.192093e-07
0.15000000000000002,bim,0.9980926188786373,0.014910582
0.2,clean,0.025239531582682755,9.886762
0.2,fgsm,1.0,1.192093e-07
0.2,bim,0.9968949609652236,0.017016983
0.25,clean,0.01051277501774308,10.432911
0.25,fgsm,1.0,1.192093e-07
0.25,bim,0.9962739531582683,0.022829257
0.30000000000000004,clean,0.004213981547196593,10.633835
0.30000000000000004,fgsm,1.0,1.192093e-07
0.30000000000000004,bim,0.9947657913413769,0.03052999
0.35000000000000003,clean,0.0042583392476933995,10.697042
0.35000000000000003,fgsm,1.0,1.192093e-07
0.35000000000000003,bim,0.9918381831085876,0.04342053
0.4,clean,0.007407735982966643,10.797399
0.4,fgsm,1.0,1.192093e-07
0.4,bim,0.9888218594748048,0.061980058
0.45,clean,0.010379701916252662,10.85958
0.45,fgsm,1.0,1.192093e-07
0.45,bim,0.9820794889992903,0.088325985
0.5,clean,0.013307310149041874,10.908872
0.5,fgsm,1.0,1.192093e-07
0.5,bim,0.9281848828956707,0.13380364
0.55,clean,0.015613910574875798,11.079885
0.55,fgsm,1.0,1.192093e-07
0.55,bim,0.9060060326472675,0.19806619
0.6000000000000001,clean,0.01867459190915543,11.238747
0.6000000000000001,fgsm,1.0,1.192093e-07
0.6000000000000001,bim,0.9053406671398154,0.26551223
0.65,clean,0.021779630943931868,11.404822
0.65,fgsm,1.0,1.192093e-07
0.65,bim,0.9050301632363378,0.33825973
0.7000000000000001,clean,0.028078424414478352,11.577622
0.7000000000000001,fgsm,1.0,1.192093e-07
0.7000000000000001,bim,0.9048970901348474,0.41420195
0.75,clean,0.030296309439318665,11.754041
0.75,fgsm,1.0,1.192093e-07
0.75,bim,0.9044535131298793,0.46957615
0.8,clean,0.03566359119943222,11.97655
0.8,fgsm,1.0,1.192093e-07
0.8,bim,0.9042317246273953,0.5171087
0.8500000000000001,clean,0.03912349183818311,12.160563
0.8500000000000001,fgsm,1.0,1.192093e-07
0.8500000000000001,bim,0.9037881476224272,0.5644677
0.9,clean,0.04324875798438609,12.317057
0.9,fgsm,1.0,1.192093e-07
0.9,bim,0.903388928317956,0.61030877
0.9500000000000001,clean,0.04879347054648687,12.416108
0.9500000000000001,fgsm,1.0,1.192093e-07
0.9500000000000001,bim,0.9036550745209369,0.64234775
1.0,clean,0.051321859474804825,12.517554
1.0,fgsm,1.0,1.192093e-07
1.0,bim,0.9040099361249113,0.6664795
